Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Province,State,City,Website,Year Founded,Founders,Logo
GO Veggie! (fmr. Galaxy Nutritional Foods),Produces Go Veggie brand lactose-free cheese (both vegan and non-vegan varieties available),Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Pea,U.S. and Canada,United States,RI,North Kingstown,http://www.galaxyfoods.com/,1980,Angelo S. Morini,xywwgyrtaigvkv3x0dg9.jpg (https://dl.airtable.com/.attachments/625bde21e0346a9db92586e2654b213c/5b1bb877/xywwgyrtaigvkv3x0dg9.jpg)
NovaMeat,3D printed plant-based meat,Plant-based,Meat,"End product formulation and manufacturing,Scaffolding and structure",Whole muscle meat,"Pork,Beef/veal","Pea,Rice,Algae",Europe,Spain,N/A,Barcelona,https://www.novameat.com/,2018,Giuseppe Scionti,Capture.JPG (https://dl.airtable.com/.attachments/1f436f91dcd1b6b728359c6dea9d0174/ea975b65/Capture.JPG)
Unisoy,Maker of plant-based jerky,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,Soy,U.S. and Canada,United States,CA,Los Angeles,https://unisoyjerky.com/,2016,,Unisoy.jpg (https://dl.airtable.com/.attachments/0929da41e86232fe9ac6931a7fa788c0/0e129478/Unisoy.jpg)
Hari & Co,Maker of plant-forward plant-based meats and soups from beans,Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Beans,Europe,France,,Lyon,https://www.hari-co.com/en/,2014,"Benoît Plisson, Emmanuel BREHIER
",logo-hari-co-black.svg (https://dl.airtable.com/.attachments/86db0b2875466207751e5d4d38199ca4/edcd59b2/logo-hari-co-black.svg)
Schouten Food,Producer of a variety of plant-based meats; provides private label production.,Plant-based,"Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,Other meat,"Chicken,Beef/veal,Fish,Tuna","Wheat,Soy",Europe,Netherlands,"Giessen, The Netherlands","Giessen, The Netherlands",https://www.schoutenfood.com/usa/,1930,"Marinas, Bart, and Otto Schouten",schouten.png (https://dl.airtable.com/.attachments/bb8489605ed54c885c13168ac5e5df65/61405205/schouten.png)
Organic Nectars,"Produces Cashewtopia brand gelato, as well as plant-based chocolates and sweeteners.",Plant-based,"Other,Dairy",End product formulation and manufacturing,,,Cashew,U.S. and Canada,United States,NY,Malden-On-Hudson,http://www.organicnectars.com/,2004,Lisa Protter,ll.png (https://dl.airtable.com/.attachments/2781e26518a1a22e61061eb2123b0121/736a46b0/ll.png)
The New Butchers,Producer of plant-based chicken and ground beef ,Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken,Fish,Shellfish",Pea,Latin America,Brazil,,Sao Paulo,http://www.thenewbutchers.com.br/,2019,,the new butchers.png (https://dl.airtable.com/.attachments/b7e7adbc1374d352354bd792f48027bf/a93fc2c7/thenewbutchers.png)
Franklin Farms,Produces veggie burgers,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,Soy,U.S. and Canada,United States,NJ,Parsippany,https://www.franklinfarms.com/,1994,,Franklin-Farms-Logo-Final.png (https://dl.airtable.com/.attachments/de1b5214cd72ca2a975de3f0d2bbaa77/565ae9d4/Franklin-Farms-Logo-Final.png)
Fauxmagerie Zengarry,Produces artisanal plant-based cashew cheese,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,Canada,ON,Alexandria,https://www.zengarry.com/,2013,Lynda Turner,download (2).jpg (https://dl.airtable.com/.attachments/7a287140f0e0ed6cd02c50e7e7da2649/55879bdc/download2.jpg)
Heura,Producers of a variety of plant-based meats,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Whole muscle meat","Chicken,Beef/veal","Soy,Pea",Europe,Spain,,Barcelona,https://www.heurafoods.com/en-GB/home,2017,"Marc Coloma, Bernat Ananos Martinez",q3t3jj6x82kfd7xvr0g1.png (https://dl.airtable.com/.attachments/73109a0e675f558157d4bcee7685e2e2/f65fe849/q3t3jj6x82kfd7xvr0g1.png)
More Foods,Producing beef via a high protein yeast blend. ,Biomass fermentation,Meat,End product formulation and manufacturing,Whole muscle meat,Beef/veal,,Africa/Middle East,Israel,,Tel Aviv,https://www.more-foods.co/,2019,Leonardo Marcovitz,Screen Shot 2021-01-04 at 1_28_31 PM.png (https://dl.airtable.com/.attachments/cb73c9a885ff60729cc040841d5d813e/ec671b06/ScreenShot2021-01-04at1_28_31PM.png)
WayFare,"Produces plant-based dairy products like butter, sour cream, pudding, cheese, and dips. ",Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other dairy",,"Butter Bean,Oat",U.S. and Canada,United States,MT,Bozeman,https://wayfarefoods.com/,2009,,WaFare_Logo_4col.png (https://dl.airtable.com/.attachments/3c08ddd293c3cbf8003c746f1db1abfe/1182ae71/WaFare_Logo_4col.png)
YamChops,Plant-based butcher offering their own line of plant-based meats as well as other manufacturers' products. They have a storefront in Toronto.,Plant-based,Meat,End product formulation and manufacturing,Ground meat,,"Soy,Wheat,Pea",U.S. and Canada,Canada,BC,Surrey,https://yamchops.com/,2014,,Capture.JPG (https://dl.airtable.com/.attachments/47801d1b4a0ff1faab77d249deaf4caa/c4bc0b5d/Capture.JPG)
NadaMoo!,U.S.-based company producing coconut milk-based ice cream,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,"Coconut,Almond",U.S. and Canada,United States,TX,Austin,http://nadamoo.com/,2004,Daniel Nicholson,nadamoo.svg (https://dl.airtable.com/.attachments/1a16eee035b10d7d3ac91cb1a9e7120a/706caa89/nadamoo.svg)
Nature & Moi,Produces vegan cheeses,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Coconut,Europe,France,N/A,France,http://www.nature-moi.fr/,2015,Bertrand Jouault,logo-nature-et-moi.png (https://dl.airtable.com/.attachments/3015f098086a891fa40cf83545fde943/a49fbcd8/logo-nature-et-moi.png)
Fresh Start Fauxmage,Produces artisan vegan cheeses,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,"Cashew,Coconut",U.S. and Canada,Canada,PE,Charlottetown,https://freshstartfauxmage.ca/,2016,Julain Molnar,BlackRevlrg.png (https://dl.airtable.com/.attachments/15d13c72c6769492d945494bb6fc2fa2/e538e06e/BlackRevlrg.png)
Hooray Foods,Produces plant-based bacon,Plant-based,Meat,End product formulation and manufacturing,Other meat,Pork,"Rice,Tapioca,Coconut",U.S. and Canada,United States,CA,San Francisco,https://www.hoorayfoods.com/,2019,Sri Artham,Hooray+logo_F-white+logo-tightcrop.png (https://dl.airtable.com/.attachments/068a39fdceb41c47ba912fb56c24d36d/c1dcbd2f/Hooraylogo_F-whitelogo-tightcrop.png)
Plant Veda,"Produces probiotic beverage and Indian cashew Lassi. Founders have another company, Karma Milk Private Limited, which produces the same products in India. ",Plant-based,Dairy,End product formulation and manufacturing,Other,,"Cashew,Oat",U.S. and Canada,Canada,CA,San Francisco,https://www.plantveda.com/,2019,Vanita Gurnani,Plant_Veda_New_Logo_70x@2x.png (https://dl.airtable.com/.attachments/a1cf3cec30eb24a52851afc635bf672d/2d8bec34/Plant_Veda_New_Logo_70x2x.png)
V2 Food,Startup producing biomimicked plant-based beef made from legumes,Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Other",Soy,"U.S. and Canada,Asia Pacific",Australia,,Sydney,http://www.v2food.com/,2019,Nick Hazell,v2_roundel_RGB_on_white_circular_BG_01_64490f29ca.png (https://dl.airtable.com/.attachments/67b2f75f25f45885f7165d87a5d3a2ec/e369c2ff/v2_roundel_RGB_on_white_circular_BG_01_64490f29ca.png)
Moon Meals,Maker of plant-based grab and go meals,Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Wheat,U.S. and Canada,United States,IL,Chicago,https://www.moonmeals.com/,2012,LaForce Baker,MMI_Logotype-Horiz_FINAL_rgb_470x131.png (https://dl.airtable.com/.attachments/08d5fffa39c714aa8cb6f8d7e5cae8b5/aec4effc/MMI_Logotype-Horiz_FINAL_rgb_470x131.png)
The Meatless Farm Co,"Produces plant-based meat products like fresh mince, burgers, and sausage",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Pork","Soy,Rice,Coconut,Pea","U.S. and Canada,Europe",United Kingdom,N/A,Leeds,https://www.meatlessfarm.com/,2016,Morten Toft Bech,meatless-brand.svg (https://dl.airtable.com/.attachments/5a543fea950f689f4dc706377df837fe/22c83d6a/meatless-brand.svg)
Good Dot,Makers of plant-based Indian-style meat,Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken","Soy,Pea",Asia Pacific,India ,N/A,Udaipur,https://gooddot.in/,2016,Stephanie Downs,logo (2).png (https://dl.airtable.com/.attachments/e9b0aabeb2e60ab4014214d298c4e1e9/52f3706f/logo2.png)
Terra Vegane,"Maker of plant-based meat, eggs, and cheese ",Plant-based,"Eggs,Dairy,Meat",End product formulation and manufacturing,"Eggs,Ground meat,Cheese","Beef/veal,Pork","Wheat,Chickpea,Oat",Europe,Germany,Berlin,Berlin,http://terravegane.de/en/home/,2013,,TerraVegane.png (https://dl.airtable.com/.attachments/e5b3ea0d30e359205b0e4a4207d7368b/5435b354/TerraVegane.png)
Harmless Harvest,Maker of dairy free yogurt and milk (and coconut drinks),Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy",,Coconut,U.S. and Canada,United States,CA,San Francisco,http://harmlessharvest.com/products/,2010,Justin Guilbert,HarmlessHarvest_Logo_1c.png (https://dl.airtable.com/.attachments/966ea01d0a14f7c809b5caf4c9100696/d0a04e57/HarmlessHarvest_Logo_1c.png)
Tofuna Fysh,Produces vegan fish sauce made with seaweed and veggie salad (mock tuna salad) made with jackfruit and seaweed.,Plant-based,"Meat,Seafood",End product formulation and manufacturing,,Tuna,"Mushrooms,Other",U.S. and Canada,United States,OR,Portland,http://tofunafysh.com/,2015,Zach Grossman,Tofuna Fish.png (https://dl.airtable.com/.attachments/9efeedf9ccfe7eb39098613b9281ebc1/8e67ac18/TofunaFish.png)
Grounded Foods,Maker of plant-based cheese from cauliflower and hemp,"Plant-based,Traditional fermentation","Dairy,Ingredients and inputs",End product formulation and manufacturing,"Cheese,Other dairy",,"Cauliflower,Hemp",U.S. and Canada,United States,CA,Los Angeles,https://www.groundedfoods.com/,2019,"Veronica Fil, Shaun Quade",Capture.JPG (https://dl.airtable.com/.attachments/1c38c52dc5b0be0f64c85972d473ca1e/e23bcc7e/Capture.JPG)
Gusta Foods,Maker of vegan cheese and sausages,Plant-based,"Dairy,Meat",End product formulation and manufacturing,"Ground meat,Cheese",,"Coconut,Wheat",U.S. and Canada,Canada,,Montreal,https://gustafoods.com/en,2014,Sylvain Karpinski,GUSTA_Logo-Anglais-Reverse.svg (https://dl.airtable.com/.attachments/e331c38cc1fb51b0137c5b4ee4952c79/0dde3261/GUSTA_Logo-Anglais-Reverse.svg)
Kojo,Plant-based jerky,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,Soy,"U.S. and Canada,Latin America",United States,IL,Chicago,https://www.kojojerky.com/,2018,"Ally Stewary, Bridget Henley",uck6j3nngtgwhxdgmm7u.png (https://dl.airtable.com/.attachments/8866e65af8f8b2120b7bf2d2b4abd686/e4cf4e5a/uck6j3nngtgwhxdgmm7u.png)
Miyoko's Creamery,Produces artisanal cultured nut-based cheeses,Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other dairy",,"Oat,Cashew",U.S. and Canada,United States,CA,Fairfax,http://miyokoskitchen.com/,2014,Miyoko Schinner,logo_miyokos_creamery_360x.png (https://dl.airtable.com/.attachments/01e0e7c6e262e52a0aa20bc6170be717/5406de6e/logo_miyokos_creamery_360x.png)
Maisha Deli (fmr. Maybels),Produces plant-based cheese,Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other dairy",,,Europe,Sweden,N/A,Lund,http://maybels.se/,2017,Anna Lundström,Screen Shot 2021-01-04 at 11_58_09 AM.png (https://dl.airtable.com/.attachments/ff538b2aa4e241e0acb06f176fb5894b/5d864499/ScreenShot2021-01-04at11_58_09AM.png)
Linda McCartney,Maker of a variety of plant-based meats from soy,Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Chicken,Pork,Duck",Soy,Europe,United Kingdom,West Yorkshire,Leeds,https://lindamccartneyfoods.co.uk/,1991,,logo (1).jpg (https://dl.airtable.com/.attachments/a70478d359d74c21139d55f495e5eace/4f60730c/logo1.jpg)
The Amazing Protein Co,Produces LIKA brand protein and meat alternatives. Used as a plant-based eco-friendly filler in ground beef or as a standalone meat substitute. ,Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Chicken,Beef/veal",Wheat,U.S. and Canada,United States,CA,Capitola,https://lovelika.com/,,,cropped-lovelika.png (https://dl.airtable.com/.attachments/de756b37ee07bd2af233ca35b00eb59f/939aa05d/cropped-lovelika.png)
Ojah BV,"Produces plant-based chicken strips. Known for Plenti®, one of the first of such ingredients on the market and is well-known as the highest quality 'plant-based chicken chunks' available worldwide. In 2019, was working on first plant-based ribs called Heppi™",Plant-based,Meat,End product formulation and manufacturing,Other meat,"Beef/veal,Chicken","Soy,Pea","Global,Europe",Netherlands,N/A,Ochten,https://www.ojah.eu,2009,"Frank Giezen, Jeroen Willemsen, Wouter Jansen",logo-producer.png (https://dl.airtable.com/.attachments/1cd03a1f74c46deee226786d907ba1c3/8945d35f/logo-producer.png)
Tofutti,"Produces plant-based ice creams and frozen desserts, PB cheeses/sour cream, and other frozen foods.",Plant-based,Dairy,End product formulation and manufacturing,"Other dairy,Cheese",,Soy,U.S. and Canada,United States,NJ,Cranford,http://www.tofutti.com/,1981,,tofuttilogo.png (https://dl.airtable.com/.attachments/226a37c78ccae6f2ac096b0855948ff7/599386ef/tofuttilogo.png)
Gardein,"Produces Gardein brand plant-based meat alternatives, including chicken, beef, fish, pocket meals, and holiday items. Widely available in the frozen section of grocery stores. Gardein HQ is in Canada, but they also have a branch in California. Pinnacle HQ is in NJ.",Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken,Fish,Pork",Soy,U.S. and Canada,Canada,BC,Richmond,http://gardein.com/,2009,Yves Potvin,Gardein-Logo.jpg (https://dl.airtable.com/.attachments/4ac6ecde208e2d4419cd348d5cc75fa0/b9699958/Gardein-Logo.jpg)
NotCo,"Produces plant-based dairy products including mayo, milk, yogurt, and cheese.",Plant-based,Dairy,"Ingredient optimization,End product formulation and manufacturing","Milk,Cheese,Other dairy",,Pea,"Latin America,U.S. and Canada",Chile,N/A,Santiago,http://www.notco.com/,2015,"Matías Muchnick, Pablo Zamora, Karim Pichara",Screen Shot 2021-01-04 at 4_50_33 PM.png (https://dl.airtable.com/.attachments/a202d9cb77a5709aae868871f27df331/4e317d8c/ScreenShot2021-01-04at4_50_33PM.png)
To-Jo,"Maker of ""Pulled Port"" mushroom-based pulled pork replacement",Plant-based,Meat,"End product formulation and manufacturing,Ingredient optimization",Whole muscle meat,Pork,Mushrooms,U.S. and Canada,United States,PA,Avondale,https://to-jo.com/pulled-port/,1932,"John D. and Joseph D’Amico, Sr",ToJo.png (https://dl.airtable.com/.attachments/664dd072f092993c75460c3329124c93/a0648392/ToJo.png)
Meta Burger,Startup QSR serving plant-based burgers,Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Chicken",,U.S. and Canada,United States,CO,Denver,https://metaburger.com/,2018,"Michael Reeves, Matthew Coates",MetaBurgerLogo.png (https://dl.airtable.com/.attachments/4ff069453d4232b4a42d8b5256e4ee83/b01a2009/MetaBurgerLogo.png)
Vida Veg,"Produces plant-based cheese, yogurt, cream cheese, and burgers.",Plant-based,"Dairy,Meat",End product formulation and manufacturing,"Milk,Ground meat,Other dairy",,"Soy,Pea,Coconut,Almond",Latin America,Brazil,N/A,,http://www.vidaveg.com.br/,2015,,vida-veg-logo-98x110-1.png (https://dl.airtable.com/.attachments/b62b626c2c95e24520dcb1d3db12a4a2/a3c9cc11/vida-veg-logo-98x110-1.png)
Daring Foods,Maker of plant-based chicken,Plant-based,Meat,End product formulation and manufacturing,Other meat,Chicken,Soy,U.S. and Canada,United States,CA,Los Angeles,http://www.daringfoods.com/,2018,"Eliott Kessas, Ross Mackay",daring-foods_myshopify_com_logo.png (https://dl.airtable.com/.attachments/f93b5a8fc16adad4312bb16a52e51475/191ad101/daring-foods_myshopify_com_logo.png)
Van Leeuwen,Produces artisan plant-based and dairy-based ice creams. Sells pints in retail in addition to their food trucks and storefronts in NY and LA. ,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,"Coconut,Oat,Cashew",U.S. and Canada,United States,New York,New York,http://www.vanleeuwenicecream.com/,2008,"Ben Van Leeuwen, Laura O’Neill",logo-black-transparent.png (https://dl.airtable.com/.attachments/b11ca2c8ee7d5a8c9991f23c45254c14/bc6013f6/logo-black-transparent.png)
Treeline,Produces nut-based artisanal cheeses.,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,United States,NY,KingstoN,http://www.treelinecheese.com/,2012,Michael Schwarz,image001_3_78e3d970-d281-40bf-8953-149c3996485f_150x.jpg (https://dl.airtable.com/.attachments/4a3b132200e6201f16b24f36ef8c0bc0/83af8397/image001_3_78e3d970-d281-40bf-8953-149c3996485f_150x.jpg)
Leaf Cuisine,Produces cashew-based cheeses,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,United States,CA,Santa Monica,http://www.leafcuisine.com/,2004,Rod Rotondi,2017-Logo-B.png (https://dl.airtable.com/.attachments/55557df1aa8da77795a2ad2509368fb1/9baec4c7/2017-Logo-B.png)
Eden Foods,"Produces natural packaged foods, including Edensoy organic soymilk. Eden Foods offers more than 300 organic food items. It's North America's oldest natural and organic food company and the largest independent manufacturer of dry grocery organic foods. Family-owned, Eden Foods began in 1968 as a natural foods cooperative.",Plant-based,Dairy,End product formulation and manufacturing,Milk,,Soy,U.S. and Canada,United States,MI,"Clinton, MI",https://store.edenfoods.com/,1968,Michael Potter,logo_1_1591731692__38027_original.png (https://dl.airtable.com/.attachments/d15b0b629550ffba91de8ff704cf51f6/93e282d2/logo_1_1591731692__38027_original.png)
Engine 2,"Maker of plant-based meals, meal-planners, and ""rescue"" program - encouraging people to go plant-based",Plant-based,Other,,Other,,,U.S. and Canada,United States,Texas,,https://plantstrong.com/,2019,Rip Esselstyn,Screen Shot 2021-02-11 at 12_35_46 PM.png (https://dl.airtable.com/.attachments/5209cbe4c480dc08325fedb3dc4d755c/4469144a/ScreenShot2021-02-11at12_35_46PM.png)
Vegg,"Maker of The Vegg, plant-based egg replacers including scramble, yolk, and baking ingredient",Plant-based,Eggs,End product formulation and manufacturing,Eggs,,"Yeast,Soy,Algae",U.S. and Canada,United States,NY,Carle Place,https://thevegg.com/,2011,Rocky Shepheard,Capture.JPG (https://dl.airtable.com/.attachments/10544d17be00177da8dab1f475e50636/31d62d39/Capture.JPG)
MyEy,Maker of plant-based egg substitute for cooking and baking,Plant-based,Eggs,End product formulation and manufacturing,Eggs,,Lupine,Europe,Austria,,,https://myey.info/egg-replacer-processor/?lang=en,2013,,Screen Shot 2021-01-25 at 4_30_59 PM.png (https://dl.airtable.com/.attachments/9c7c89a023279da35c4c5c816eb10ffb/5fb18e50/ScreenShot2021-01-25at4_30_59PM.png)
No Evil Foods,"Plant-based chicken, sausage, pork, and chorizo",Plant-based,Meat,End product formulation and manufacturing,"Whole muscle meat,Ground meat","Chicken,Pork",Wheat,U.S. and Canada,United States,NC,Asheville,https://www.noevilfoods.com/,2014,"Sadrah Schadel, Mike Woliansky",Screen Shot 2021-01-04 at 3_15_29 PM.png (https://dl.airtable.com/.attachments/f93e06df68c83b35c4104c60b79372db/0ed1bc78/ScreenShot2021-01-04at3_15_29PM.png)
Moku Foods,Mushroom and plant-based jerky,Plant-based,Meat,End product formulation and manufacturing,Whole muscle meat,Beef/veal,"Mushrooms,Coconut",U.S. and Canada,United States,CA,Venice,https://mokufoods.com/,2019,Matt Feldman,Screen Shot 2021-01-04 at 1_15_10 PM.png (https://dl.airtable.com/.attachments/e0144c60f43089f636f552a0f77f6a9f/62f5c581/ScreenShot2021-01-04at1_15_10PM.png)
