name,summary,link,Primary focus,Location,Founded,Business model,Protein category,Ingredients,Technology focus,End product application,Meat fish analogs
Happy Heart,Artisanal raw vegan cheese,happyheartvegangourmet.com,Food and beverages,Canada,,End-consumer brands & products,Plant-based,Cashew,,"Cheese, Dairy",
Kaya Foods,"MATTERS HOW choose our INGREDIENTS
All ingredients around which a lized are a gift from nature.
From a lized them the way we gave them.
Preserving their uniqueness.",kayafoods.eu,Food and beverages,Bulgaria,2017,End-consumer brands & products,Plant-based,"Cauliflower, Cereals, Chestnuts, Coconut, Fungi, Hemp, Lentils, Mushroom, Nuts, Oilseeds, Pulses, Rice, Soy, Spinach, Sunflower, Vegetables, Wheat",,"Burger, Dairy, Meat & fish, Yogurt",
JOI,the only plant base you need for all your plant-based needs.,addjoi.com,Food and beverages,United States,2016,End-consumer brands & products,Plant-based,"Almond, Cashew, Cereals, Nuts, Oat",,"Dairy, Milk, Other",
The Vegetarian Butcher,"Hacking your meat favourites with true Butcher's craftmanship. The next big thing in plant-based gastronomy.
The Vegetarian Butcher distinguishes itself with a whole new generation of meat- and fish substitutes which chefs and culinary journalists find similar to the real thing. Ferran Adrià (El Bulli) and his team of chefs were convinced they were eating chicken thigh of excellent quality and Mark Bittman, food critic of The New York Times, praised our plant-based meat. The Independent headlined: ""Is this the end of meat?"", the French Huffington Post wrote an article about the rise of The Vegetarian Butcher, and national Dutch newspaper NRC Next made a review of four pages including the entire front page.
The concept has expanded from just one store in 2010 to 4000 sales outlets in 17 countries. You can find The Vegetarian Butcher's products in independent fruit-vegetable and butcher shops, natural food stores and supermarkets. The Vegetarian Butcher was voted Entrepreneur of the Year in 2015 and 2016, received high approval ratings for the NIMA marketing awards and Jaap Korteweg, CEO and founding father of The Vegetarian Butcher, has been listed in the top three of 100 top sustainability drivers in the Netherlands by Trouw newspaper, for the second time in a row! In 2019, The Vegetarian Butcher was chosen Coolest Dutch Brand.",thevegetarianbutcher.com,Food and beverages,Netherlands,2010,End-consumer brands & products,Plant-based,"Barley, Cereals, Egg, Oilseeds, Soy, Wheat",,"Burger, Meat & fish, Minced/Ground meat, Nuggets, Other, Sausage, Steak","Beef, Chicken, Pork, Poultry"
Daring Foods,"We started daring with a single aim: to remove chicken from our food system.
A simple cause. And a massive undertaking. But we're not called daunted. We're called daring. And removing chicken is exactly what we're doing—bite by bite.",daringfoods.com,Food and beverages,United States,2018,End-consumer brands & products,Plant-based,"Oilseeds, Soy, Sunflower",,Meat & fish,"Chicken, Poultry"
Nana Creme,Vegan and Top 8 Allergen Free ice cream and frozen novelties.,nanacreme.com,Food and beverages,United States,2014,End-consumer brands & products,Plant-based,"Banana, Fruits",,Ice-cream and desserts,
Rival Foods,Plant-based culinary creations,rival-foods.com,Food and beverages,Netherlands,,End-consumer brands & products,Plant-based,,,"Meat & fish, Steak","Beef, Chicken, Fish, Poultry"
Amandin,"Amandín is more than an organic food brand. Amandín we are all, all the people that are part of this company and all those who trust us.
Our team works with the objective of developing organic products, with a demanding selection of ingredients and raw materials. This way we get a delicious and natural flavor, of great quality.
At Amandín we are committed to an intelligent diet, able to satisfy the palate and to nourish our body in an ecological way.",amandin.com,Food and beverages,Spain,,End-consumer brands & products,Plant-based,"Almond, Hazelnut, Oat, Rice, Spelt, Tigernut, Walnut",,"Dairy, Milk",
Revolution Gelato,"Luxurious organic gelato. Defiantly dairy-free.
Serving our award-winning dairy-free gelato to retail and foodservice customers in the eastern US.
You see, we don’t want to choose between our love of good food and our core values of health, sustainability, and humane living.
Instead, we seek to redefine what is possible in the dairy-free category. We go all-in on taste, with no compromise. We're steadfast in doing the right thing, the right way. In short, we give a damn.
And we believe. We believe in the power of the conscientous consumer. That how you choose to spend your food dollars and what you put into your body makes a meaningful difference.
We're here to make it easy for you.
So this is a dairy-free revolution, yes, but it’s bigger than that. Our revolution is about fundamentally improving our food system and culture from within. We’re part of the growing movement of people fed up with settling – chefs and farmers, journalists and dietitians, parents and students, and people just like you – who are trying to change the status quo.
Gelato is our contribution.",revolutiongelato.com,Food and beverages,United States,2012,End-consumer brands & products,Plant-based,"Cashew, Coconut",,"Dairy, Ice-cream and desserts",
Lactasoy,"The factory, our today’s head office, first produced a citrus-flavored soft drink under brands “Happy” and “Double Happy”. During the World War II, we distributed our products to the Japanese military base camps and in Yaowarat area (currently known as China Town). Nowadays, this area is one of the most busy business districts in Bangkok.",lactasoy.com,Food and beverages,Thailand,1950,End-consumer brands & products,Plant-based,Soy,,"Dairy, Milk",
Seafuture,Seafuture is a biotech company that uses cell culturing technology to produce seafood that consistently and sustainably meet global demand.,seafuturebio.com,Food and beverages,Canada,2017,End-consumer brands & products,Cultivated,,,Meat & fish,Seafood
Caviart,"Delicious, eye-catching, healthy, sustainable – there are lots of things that could be said about Cavi-art. But why would we spoil you the joyful experience of tasting it yourself? We brought it all the way from Denmark for that! Get your hands on one of the different flavors and add a delicate touch to your dishes.",plantbasedfoods.com,Food and beverages,United States,,End-consumer brands & products,Plant-based,"Flaxseed, Rapeseed, Rice, Seaweed, Tapioca",,"Cheese, Dairy, Meat & fish","Calamari, Fish, Salmon, Shrimp, Tuna"
Sheese,"With 30 years’ experience we’re one of the UK’s leading manufacturers and suppliers of dairy, lactose and gluten free vegan cheese products. Our Sheese range is award winning, and we’re proud to say that all of our products are certified Vegan, and most are Kosher too!
Our production process is also completely animal free in our dedicated Free From Factory on the idyllic Isle of Bute in Scotland, with everything performed to the highest ethical standards.
Sheese products are now stocked by many shops all over Europe, Canada & Australia, Asia and South Africa.",buteisland.com,Food and beverages,United Kingdom,1994,End-consumer brands & products,Plant-based,"Coconut, Oat, Potato",,"Cheese, Dairy",
Novah Natural,"A NOVAH surgiu para ajudar a promover a transformação na maneira como nos alimentamos para assim alcançarmos o nosso máximo potencial sem causar impactos negativos a nossa saúde, aos animais e ao planeta, ou seja, da maneira mais simples, natural, consciente e sustentável.
E assim somos parte da revolução de um dos atos mais impactantes que todos executamos diariamente: alimentar-se.
Viemos para mostrar que é possível nos alimentarmos respeitando a integridade que cada produto ainda natural oferece e assim produzir atitudes positivas, além de comida saudável e nutritiva. Sabemos que alimento de verdade tem história, essência, origem e que todos precisam conhecê-los e respeitá-los.
Por isso com muito amor e propósito, buscando apoiar a cadeia produtiva sustentável, firmar parcerias sólidas e colaborativas, produzimos alimentos vegetais a base de castanha de caju substitutos para laticínios tradicionais e tão versáteis quanto.
Distribuímos nossos produtos para pontos de venda de varejo e food service.",novahnatural.com.br,Food and beverages,Brazil,2016,End-consumer brands & products,Plant-based,"Berries, Cashew, Cocoa, Coconut, Fruits, Nuts",,"Cheese, Dairy, Ice-cream and desserts",
Plant Bliss Foods,"PlantKind makes plant-based foods designed as drop-in substitutes for meat, dairy, and eggs in both the retail and food service markets.",plantblissfoods.com,Food and beverages,United States,2019,End-consumer brands & products,Plant-based,,,"Eggs and egg products, Meat & fish",
Gourmey,"GOURMEY is France's first cultivated meat company. Its mission is to accelerate the world’s transition toward humane, sustainable and healthy meat by harvesting it from animal cells. GOURMEY is first reinventing France's most iconic delicacy: foie gras.",gourmey.com,Food and beverages,France,2019,End-consumer brands & products,Cultivated,,,Meat & fish,"Duck, Poultry"
Seafuture,Seafuture is a biotech company that uses cell culturing technology to produce seafood that consistently and sustainably meet global demand.,seafuturebio.com,Food and beverages,Canada,2017,End-consumer brands & products,Cultivated,,,Meat & fish,Seafood
Caviart,"Delicious, eye-catching, healthy, sustainable – there are lots of things that could be said about Cavi-art. But why would we spoil you the joyful experience of tasting it yourself? We brought it all the way from Denmark for that! Get your hands on one of the different flavors and add a delicate touch to your dishes.",plantbasedfoods.com,Food and beverages,United States,,End-consumer brands & products,Plant-based,"Flaxseed, Rapeseed, Rice, Seaweed, Tapioca",,"Cheese, Dairy, Meat & fish","Calamari, Fish, Salmon, Shrimp, Tuna"
Sheese,"With 30 years’ experience we’re one of the UK’s leading manufacturers and suppliers of dairy, lactose and gluten free vegan cheese products. Our Sheese range is award winning, and we’re proud to say that all of our products are certified Vegan, and most are Kosher too!
Our production process is also completely animal free in our dedicated Free From Factory on the idyllic Isle of Bute in Scotland, with everything performed to the highest ethical standards.
Sheese products are now stocked by many shops all over Europe, Canada & Australia, Asia and South Africa.",buteisland.com,Food and beverages,United Kingdom,1994,End-consumer brands & products,Plant-based,"Coconut, Oat, Potato",,"Cheese, Dairy",
SuXianZi,"On year 1989, SuXianZi & OKK Vegetarian Food Products Company was setup in Johor Bahru, as a manufacturer for vegetarian food products. Over the decades, the company has been augmented by the latest advanced equipments, which empower the production line to manufactures more than 100 types of vegetarian delicacies.
SuXianZi & OKK has a distribution network throughout Malaysia and Singapore; hence vegetarian may conveniently procure SuXianZi & OKK products in most vegetarian specialist shops. Besides, our products are also being exported to Australia, Vietnam, Mauritius, Thailand, Indonesia, England and other South-East Asian countries. The company intends to establish distribution centre in China, Korea, Japan, USA, India, Sri Lanka, Saudi Arabia and the Euro Union countries in the near future.",suxianzi.com,Food and beverages,Malaysia,1989,End-consumer brands & products,Plant-based,,,"Meat & fish, Minced/Ground meat","Beef, Calamari, Crab, Fish, Lobster, Shellfish, Shrimp"
Better Than Milk,"Better Than Milk® powders and liquid beverages allow you to reduce or eliminate dairy from your diet deliciously and economically. You’ll love the taste and the convenience of Better Than Milk, the Vegan alternative.",btmsoymilk.com,Food and beverages,United States,2010,End-consumer brands & products,Plant-based,"Almond, Cereals, Hazelnut, Nuts, Oat, Rice",,"Dairy, Milk",
Core + Rind,"Core and Rind created deliciously creamy & dairy free Cashew Cheesy Sauce. It has whole, real ingredients, all of which you can pronounce (ta-da!). It is packed with healthy fats, nourishing spices, plant power and deliciousness. Candi and Rita [Core and Rind] spent years developing Cashew Cheesy Sauce to make your journey to health easier and tastier. We believe that health begins with one small (and delicious) change in the kitchen. Let us nourish you from the Core to the Rind.",coreandrind.com,Food and beverages,United States,2016,End-consumer brands & products,Plant-based,"Cashew, Fungi, Nuts, Pumpkin seeds, Yeast",,"Cheese, Dairy, Other",
Saintly Foods Ltd,Saintly Foods Ltd is a Divinely delicious desserts with no nasties,saintlyfoods.co.uk,Food and beverages,United Kingdom,2018,End-consumer brands & products,Plant-based,"Almond, Berries, Cashew, Cereals, Cocoa, Coconut, Fruits, Nuts, Oat, Spelt",,Ice-cream and desserts,
The Fast Good Company,"Over 2 billion people do not have regular access to safe, nutritious and sufficient food. At the same time, overweight and obesity continue to increase in all regions of the world.*
*Food and Agriculture Organization of the United Nations, 2020
That's why it's our mission to make healthy food more accessible. We do this by creating meals which are good for you and great for the planet!",thefastgoodcompany.com,Food and beverages,Netherlands,2019,End-consumer brands & products,Plant-based,"Broad beans, Cashew, Cauliflower, Celery, Cereals, Chickpea, Coconut, Fungi, Jackfruit, Mushroom, Nuts, Oat, Oilseeds, Pea, Pulses, Soy, Vegetables",,Ready-to-eat meals & snacks,
Verso Food,On a mission to develop great tasting food out of Finnish fava beans. Just beanit!,beanit.fi,Food and beverages,Finland,2010,End-consumer brands & products,Plant-based,"Fava bean, Oilseeds, Pulses, Rapeseed",,"Meat & fish, Minced/Ground meat",
NewFields,Makers of plant-based cheeses made from natural plant protein sources.,newfieldscheese.com,Food and beverages,United States,,End-consumer brands & products,Plant-based,,,"Cheese, Dairy",
Marusan,"""Soybeans are known as the meat of field crops. They are packed with high-quality proteins, isoflavones, vitamins, and various minerals and other active components that are important to the body. The full potential of soy is still unknown.
MARUSAN-AI makes and sells “miso” and “soymilk” mainly made of soybeans, and “beverages” utilizing aseptic filling technology along with other food products. Since our inception we have been committed to soy under the theme of """"great taste and health"""", and we will provide new products based on the natural blessings of soybeans."".",marusanai.co.jp,Food and beverages,Japan,1952,End-consumer brands & products,Plant-based,"Almond, Oat, Soy",,"Dairy, Milk",
Tivall,"The company M.S.Distribution was founded (1990) as a registered partnership in Belgium, for importing and marketing of Kosher food products. The convenient location in the heart of Europe enabled the company to import and distribute products from many world countries to all European destinations. Today we are proud to be one of the leading suppliers of high quality – carefully chosen and approved by the Ministry of Health – Kosher food products for the work market, institution market and home market.
Contact Us: M. S. Distribution will be happy to serve you with the existing wide variety of products. It is additionally possible to market a new product with local Kashrus approval or in partnership with world leading Kashrus authorities. For more information about company activities or products, don’t hesitate to contact our customer service online or by telephone.",msdistribution.be,Food and beverages,Israel,1990,End-consumer brands & products,Plant-based,,,"Burger, Meat & fish, Minced/Ground meat, Nuggets, Sausage","Beef, Chicken, Pork, Poultry"
Heuros,"Heuros produces high quality, GM-free media for the manufacture of cultivated (clean) meat. Our media is made without using genetic engineering to synthesise recombinant proteins – so products made using this media will be GM-free. Heuros media does not use antibiotics, hormones or animal blood products (such as FBS).
Heuros media stimulates the growth of bird and mammal muscle cells. We are also developing novel bioreactors for the large-scale production of cultivated meat. We can supply this technology commercially. We are able to work together with other cultivated meat companies to optimise production technology for their specific cell lines.
We are building our team to take on further research and development; optimising the media to work with muscle cells from a range of species in our customised bioreactors, as well as scaling up our operations.",heuros.com,Food and beverages,Australia,2017,End-consumer brands & products,Cultivated,,"Bioprocess design, Cell culture media","Meat & fish, Minced/Ground meat",Beef
Svetulka ,"The history of our products began when we found out that our daughter has milk intolerance. She really likes cheese and yogurt. Her milk intolerance was expressed in a migraine headache. The first product we created was fermented coconut.
We decided coconut milk to a dkvasim a starter, but termiraneto delaminated and not by Lucci. On a trial-and-error basis, we put a root plant that has no taste, color or smell, is not an allergen, but retains its consistency until the lactobacilli develop. We were delighted and impressed with the result, as the product lasts without any preservatives and stabilizers for over forty days. We tried the same recipe with cashews in SLE almond, hazelnut, hemp seed and soybeans. All are on Lucia, but all were very different, each with a taste of the nut or seed. We commissioned to make the technical documentation and gave them to study the agency in We decided to ferment coconut milk with sourdough, but when it was terminated, it stratified and didn't work. On a trial-and-error basis, we put a root plant that has no taste, color or smell, is not an allergen, but retains its consistency until the lactobacilli develop. We were delighted and impressed with the result, as the product lasts without any preservatives and stabilizers for over forty days. We tried the same recipe with cashews, then almonds, hazelnuts, hemp seeds and soy. They all turned out, but they were all radically different, each with the taste of the corresponding nut or seed. We commissioned them to make the technical documentation and gave them for examination to the Food Agency.",svetulkavegan.bg,Food and beverages,Bulgaria,,End-consumer brands & products,Plant-based,"Almond, Cashew, Coconut, Hazelnut, Hemp",,"Cheese, Dairy, Yogurt",
Valsoia S.P.A.,"To live better and healthier lives thanks to the foods we choose every day, that’s the PROJECT that inspired Valsoia. An Italian company that’s committed to providing valid dietary and nutritional solutions every day to satisfy the growing demand for health and wellbeing.",valsoiaspa.com,Food and beverages,Italy,,End-consumer brands & products,Plant-based,Soy,,"Cheese, Dairy, Eggs and egg products, Ice-cream and desserts, Meat & fish, Milk",Beef
Botanic Bites,"Meaty fungi. Mince. Pieces. Pulled.
Many people like to discover new tasty, healthy plant-based foods in order to reduce meat consumption. However, often they find meat replacers dry, over-processed and full of additives.
Meaty Fungi is made from the most meaty part of mushrooms. It is delicious, natural and ready to use in all kinds of dishes, think of pizza, pasta, salads, curry's, stews, satay, shawarma, gyros...",botanicbites.com,Food and beverages,Netherlands,2016,End-consumer brands & products,Plant-based,"Fungi, Mushroom, Oilseeds, Soy, Tomatoes, Vegetables, Wheat",,"Bacon, Burger, Meat & fish, Other, Ready-to-eat meals & snacks",
Heuros,"Heuros produces high quality, GM-free media for the manufacture of cultivated (clean) meat. Our media is made without using genetic engineering to synthesise recombinant proteins – so products made using this media will be GM-free. Heuros media does not use antibiotics, hormones or animal blood products (such as FBS).
Heuros media stimulates the growth of bird and mammal muscle cells. We are also developing novel bioreactors for the large-scale production of cultivated meat. We can supply this technology commercially. We are able to work together with other cultivated meat companies to optimise production technology for their specific cell lines.
We are building our team to take on further research and development; optimising the media to work with muscle cells from a range of species in our customised bioreactors, as well as scaling up our operations.",heuros.com,Food and beverages,Australia,2017,End-consumer brands & products,Cultivated,,"Bioprocess design, Cell culture media","Meat & fish, Minced/Ground meat",Beef
Svetulka ,"The history of our products began when we found out that our daughter has milk intolerance. She really likes cheese and yogurt. Her milk intolerance was expressed in a migraine headache. The first product we created was fermented coconut.
We decided coconut milk to a dkvasim a starter, but termiraneto delaminated and not by Lucci. On a trial-and-error basis, we put a root plant that has no taste, color or smell, is not an allergen, but retains its consistency until the lactobacilli develop. We were delighted and impressed with the result, as the product lasts without any preservatives and stabilizers for over forty days. We tried the same recipe with cashews in SLE almond, hazelnut, hemp seed and soybeans. All are on Lucia, but all were very different, each with a taste of the nut or seed. We commissioned to make the technical documentation and gave them to study the agency in We decided to ferment coconut milk with sourdough, but when it was terminated, it stratified and didn't work. On a trial-and-error basis, we put a root plant that has no taste, color or smell, is not an allergen, but retains its consistency until the lactobacilli develop. We were delighted and impressed with the result, as the product lasts without any preservatives and stabilizers for over forty days. We tried the same recipe with cashews, then almonds, hazelnuts, hemp seeds and soy. They all turned out, but they were all radically different, each with the taste of the corresponding nut or seed. We commissioned them to make the technical documentation and gave them for examination to the Food Agency.",svetulkavegan.bg,Food and beverages,Bulgaria,,End-consumer brands & products,Plant-based,"Almond, Cashew, Coconut, Hazelnut, Hemp",,"Cheese, Dairy, Yogurt",
Valsoia S.P.A.,"To live better and healthier lives thanks to the foods we choose every day, that’s the PROJECT that inspired Valsoia. An Italian company that’s committed to providing valid dietary and nutritional solutions every day to satisfy the growing demand for health and wellbeing.",valsoiaspa.com,Food and beverages,Italy,,End-consumer brands & products,Plant-based,Soy,,"Cheese, Dairy, Eggs and egg products, Ice-cream and desserts, Meat & fish, Milk",Beef
Sineafoods s.r.o.,"100% animal-free food products
Our mission is to offer the best of what nature offers in form of first-class, tasty, and healthy products. All our products are made with love and respect for nature and animals.
The idea behind the sinea brand was “It goes well without it” offering a quality plant-based alternative to animal products which is just as good and even better.
Why sinea? The name of our company is a combination of Latin “sine"", meaning “without”, and the letter “a”, as the first of the word “animal"".
Product development, process and quality control enhanced by thorough laboratory analyses and very selective procurement of raw materials contribute to the quality and excellent taste of sinea products. That’s why we can guarantee that you know what you eat.
We believe that it’s possible to be happy and healthy even without animal products. The quality and excellent taste of our products is based on developing new recipes, a thorough selection of ingredients, and our own development as well as production. Each product is analysed by third-party certified laboratories, so the information about our products and quality is guaranteed.
We are a retail as well as wholesale partner. We build strong relationships, based mainly on trust and a win-win formula. Direct communication is of utmost importance to us.",sineafoods.com,Food and beverages,Czech Republic,,End-consumer brands & products,Plant-based,"Almond, Cashew, Cocoa, Coconut, Rapeseed, Soy, Tigernut",,"Cheese, Dairy, Meat & fish, Ready-to-eat meals & snacks, Tempeh",
Mirai Foods AG (fmr. AlphaMeats),"We will offer superior, sustainable food to satisfy our customers’ preferences - without lecturing on what people should eat",alphameats.com,Food and beverages,Switzerland,2019,End-consumer brands & products,Cultivated,,,Meat & fish,Beef
Vida Veg,"Tudo o que fazemos, nós acreditamos desafiar o atual status da sociedade. Nós acreditamos em pensar diferente. A forma que desafiamos estes status, é fazendo produtos vegetais, que promovem a qualidade de vida aos seres e o desenvolvimento sustentável do planeta.
Conheça a Vida Veg, a empresa que veio para mudar o hábito alimentar dos brasileiros, com uma alimentação saudável, gostosa e 100% Vegetal.",vidaveg.com.br,Food and beverages,Brazil,2015,End-consumer brands & products,Plant-based,"Almond, Beets, Cashew, Cassava, Coconut, Fungi, Nuts, Oilseeds, Pea, Potato, Pulses, Soy, Sunflower, Tubers, Yeast",,"Burger, Dairy, Meat & fish, Milk, Other, Yogurt",
SIMULATE (formerly NUGGS),NUGGS produces a chicken nugget alternative made with texturized pea protein technology.,eatnuggs.com,Food and beverages,United States,2018,End-consumer brands & products,Plant-based,"Cereals, Oilseeds, Rice, Soy, Wheat",,Meat & fish,"Chicken, Poultry"
Green Slice,"Produces plant-based deli slices, hot dogs, pepperoni, and cheeses. Most products contain eggs.",greenslicefoods.com,Food and beverages,United States,2017,End-consumer brands & products,Plant-based,"Beets, Carrots, Cereals, Nuts, Oilseeds, Pea, Pulses, Rapeseed, Sunflower, Tomatoes, Vegetables, Wheat",,"Deli, Meat & fish, Salami, Sausage","Pork, Poultry, Turkey"
Biomilq,"We're leveraging our patent-pending technology to produce nutritionally equivalent breastmilk from cultured human mammary cells. With Biomilq, families can achieve the recommended six months of exclusive breastfeeding while alleviating the climate impacts of bovine-based infant formula.v",biomilq.com,"Food and beverages, Infant nutrition",United States,2019,End-consumer brands & products,Cultivated,,,"Dairy, Milk",
Anamma Foods,"Anamma began her journey about 20 years ago, long before vego ended up on everyone's lips. Our philosophy has always been based on vegan food being really good and we make no difference whether you are vegan or a carnivore.",anamma.eu,Food and beverages,Sweden,,End-consumer brands & products,Plant-based,"Chickpea, Pea, Rapeseed, Soy",,"Burger, Meat & fish, Minced/Ground meat, Nuggets, Sausage","Beef, Chicken, Pork"
Chippa,"We love chips. We love sausages. We love burgers. We hate gluten and dairy though, it makes us feel jolly rotten. We were making our own sauces in our kitchen when an old buddy from school suggested we should make them and sell them in shops. What a terribly chippa idea.",ilovechippa.com,Food and beverages,United Kingdom,,End-consumer brands & products,Plant-based,Rapeseed,,Eggs and egg products,
Yourganic,"Yourganic was founded in Jakarta, the capital of Indonesia, by two friends, Yenna Samantha and Jenny Kosasi. Our shared love for a balanced and healthy life allowed us to start a new venture after we were not satisfied with the current offerings of healthy products on the market.
The story of Yourganic originated when we stumbled upon an article which explores how almond can be produced as milk, amongst other things. Our products are packed with Protein, Electrolytes, Potassium, Calcium, Iron, Vitamin E, and Magnesium, ingredients necessary to ensure our bodies stay fit and fresh.
We are proud to announce that Yourganic is the first home grown company that has earned the P-IRT certification in Indonesia. The P-IRT certification is a type of food-safety certification from the government. The Indonesian Economy is supported by the micro-economic players in the food and beverage industry, and as a response, the government introduced the P-IRT certification to better regulate its providers.",yourganicindonesia.com,Food and beverages,Indonesia,,End-consumer brands & products,Plant-based,Almond,,"Dairy, Milk",
Meica Ammerländische Fleischwarenfabrik Fritz Meinen GmbH & Co. KG,"In 2021, Meica is expanding its vegetarian variety and introducing Trueman's vegetarian hot dog sausages. This means that vegetarians and flexitarians can also enjoy a hearty hot dog.",meica.de,Food and beverages,Germany,1908,End-consumer brands & products,Plant-based,Soy,,"Meat & fish, Sausage",Pork
Somenoya aka Someno's,Soybeans Save the World. We aim to achieve a sustainable earth by promoting environmentally-friendly plant-based foods,someat.net,Food and beverages,Japan,1862,End-consumer brands & products,Plant-based,"Soy, Texturized Vegetable Protein",,"Meat & fish, Minced/Ground meat","Beef, Chicken, Pork, Poultry"
Augason Farms,"More than 200 million Americans don’t have any type of emergency plan or food storage. Because of this, our continuing goal is to help Americans prepare for any emergency or disaster situation by offering quality foods that are affordable and easy to store, prepare, and eat.",augasonfarms.com,Food and beverages,United States,1972,End-consumer brands & products,Plant-based,"Beans, Soy",,"Bacon, Dairy, Eggs and egg products, Meat & fish, Milk, Minced/Ground meat","Beef, Chicken"
Royne,"Helados Royne is a spanish brand that belongs to the Crestas la Galeta, S.A group, also owner of Helados Somosierra company and is dedicated to the manufacture and marketing that are distributed throughout Spain and abroad.",royne.es,Food and beverages,Spain,1939,End-consumer brands & products,Plant-based,"Almond, Soy",,"Dairy, Ice-cream and desserts",
Soja-Farm,"“In Paradise” - this is the official address of the soy farm. And our location in Trechtingshausen can really be called a little bit of paradise. Located directly on the Soonwald nature reserve, up on the slope with a magnificent view of the Rhine. Bingen just around the corner - Hildegard sends her regards. In addition, a clear source directly on site. We really have been given rich gifts.
We have been producing organic tofu here since 1987 , making us one of the tofu pioneers in Germany! We only use nigari to coagulate the soy milk - and thus follow the tradition of the Japanese tofu masters. This creates the typical medium-firm tofu with the subtly sweet taste.
So indulge yourself - you will taste the difference!",soja-farm.de,Food and beverages,Germany,1987,End-consumer brands & products,Plant-based,Soy,,"Burger, Meat & fish",Beef
Augason Farms,"More than 200 million Americans don’t have any type of emergency plan or food storage. Because of this, our continuing goal is to help Americans prepare for any emergency or disaster situation by offering quality foods that are affordable and easy to store, prepare, and eat.",augasonfarms.com,Food and beverages,United States,1972,End-consumer brands & products,Plant-based,"Beans, Soy",,"Bacon, Dairy, Eggs and egg products, Meat & fish, Milk, Minced/Ground meat","Beef, Chicken"
Royne,"Helados Royne is a spanish brand that belongs to the Crestas la Galeta, S.A group, also owner of Helados Somosierra company and is dedicated to the manufacture and marketing that are distributed throughout Spain and abroad.",royne.es,Food and beverages,Spain,1939,End-consumer brands & products,Plant-based,"Almond, Soy",,"Dairy, Ice-cream and desserts",
Soja-Farm,"“In Paradise” - this is the official address of the soy farm. And our location in Trechtingshausen can really be called a little bit of paradise. Located directly on the Soonwald nature reserve, up on the slope with a magnificent view of the Rhine. Bingen just around the corner - Hildegard sends her regards. In addition, a clear source directly on site. We really have been given rich gifts.
We have been producing organic tofu here since 1987 , making us one of the tofu pioneers in Germany! We only use nigari to coagulate the soy milk - and thus follow the tradition of the Japanese tofu masters. This creates the typical medium-firm tofu with the subtly sweet taste.
So indulge yourself - you will taste the difference!",soja-farm.de,Food and beverages,Germany,1987,End-consumer brands & products,Plant-based,Soy,,"Burger, Meat & fish",Beef
"Wildwood Harvest Foods (Pulmuone Foods United States, Inc.)","A Leader of Plant-Based Foods.
Wildwood began as a small deli in San Francisco (1978) and has grown into a premier company of healthy and organic food products.
Wildwood offers a range of organic tofu as products that are favorites among health-conscious families. It is through our unfettered commitment to quality and transparency that we made all Wildwood products feature the Food Marketing Institute “Facts Up Front” labeling.
The Wildwood family of products delivers on our mission to offer a variety of organic tofu products, perfect for creating meals that are better for you and your family without sacrificing taste. Get in touch with us here, and join our community on Facebook and Twitter.
Wildwood Organic foods is one of the beloved brands of Pulmuone Foods USA, Inc., a leader in refrigerated all-natural food products. The company’s portfolio includes Nasoya, Emerald Valley Kitchen, and Monterey Gourmet Foods. Learn more about Pulmuone Foods USA rich history here.",wildwoodfoods.com,Food and beverages,United States,1978,End-consumer brands & products,Plant-based,Soy,,Tofu,
Wild Type,"Follow us to see the future of seafood. We're creating cell-cultivated fish, starting with sushi-grade salmon. No fishing or fish farming required.",thewildtype.com,Food and beverages,United States,2016,End-consumer brands & products,Cultivated,,,Meat & fish,Fish
Nutree Life,"A leader in Private Label Protein & Nutrition Bar Manufacturing.
Here at Nutree Life Ltd, we invest and specialise in innovation, NPD and scalable manufacturing for world-leading sports nutrition brands.
Our flexible approach to developing initial concepts to retail-ready products offers brands a speed-to-market advantage that is unrivalled.
Whether you have an existing product range that requires efficient manufacturing or you require the next world leading consumer product, Nutree Life can help every step of the way.",nutreelife.co.uk,Food and beverages,United Kingdom,2017,End-consumer brands & products,Plant-based,"Cereals, Cocoa, Coconut, Dates, Oilseeds, Pea, Peanut, Pulses, Pumpkin seeds, Rapeseed, Rice, Seeds, Soy, Sunflower",,"Meat & fish, Minced/Ground meat, Other, Ready-to-eat meals & snacks",
Geronimo Foods,"A Gerônimo Foods é uma startup de alimentos veganos que nasceu em 2015 para ajudar na transformação da nossa cadeia alimentar, sem abrir mão de SABOR!
Acreditamos que todo mundo pode curtir uma comida gostosa sem deixar a saúde e a consciência de lado.
Produzimos alimentos à base de plantas e livres de conservantes.
Prezamos muito pela qualidade de nossos ingredientes e utilizamos o processo de ultra congelamento para preservar o valor nutricional dos nossos produtos.
Em poucas palavras não tem motivo para não experimentar.
Seja você vegano, vegetariano ou carnívoro, deixe o rótulo de lado e vem com a gente!",geronimofoods.com.br,Food and beverages,Brazil,2015,End-consumer brands & products,Plant-based,"Almond, Aubergine, Bamboo, Beets, Black beans, Cabbage, Cashew, Cassava, Chia, Chickpea, Coconut, Flaxseed, Fungi, Lentils, Nuts, Oat, Oilseeds, Pea, Potato, Pulses, Pumpkin seeds, Quinoa, Seeds, Sesame, Sunflower, Sweet potato, Tubers, Vegetables, Wheat, Yeast",,"Burger, Meat & fish, Nuggets, Steak","Beef, Chicken, Poultry"
